ID,Yield
ID_F9XXEXN2ADR2,550.4272590092571
ID_SO3VW2X4QO93,391.30754231388676
ID_UKUQ7JM8E894,483.953607801053
ID_QUISMWEZR2H4,300.7257612012694
ID_25JGI455VKCZ,548.7535006610685
ID_KQEAOXF3RPV6,386.36002890962175
ID_FSNZCPW9HTD2,794.8058796659159
ID_U2TOPOA0T40S,316.82740827446986
ID_XVQLSUKOT04J,1136.6375327111284
ID_EAZAU6IW58PK,135.54578077681668
ID_WI17R25TC2VU,364.4691134585211
ID_OPR9MJWG40U7,1547.0999873600233
ID_P9K9GAHC6FX6,650.4111195228604
ID_SCAOUCCTJ75Z,24.87517410930732
ID_MUP1OS8GZR5E,762.9219967253069
ID_WVBSZ9VBC9HE,667.6556575099003
ID_9MGH1WIKFBNB,404.0113836129036
ID_3M2O3EPOM18C,2220.6331234418717
ID_K9MOR4N1FWIB,560.4896179040409
ID_VJPUPMSQARO5,1359.199907639066
ID_7WIMK3DXIU3Q,994.1032504999212
ID_6QXVH0EUS60J,1157.4667227150012
ID_CA9GH6Q53A1Q,230.30070228943845
ID_94KO4EQ6TA3S,268.55539507572473
ID_2WH3AXUWRS2A,251.76015903148286
ID_LBS8TBC6QEF1,327.25882753675495
ID_Y3YARETW8RAP,1266.007098161862
ID_BY9JJAIKBRGP,472.0973842011961
ID_0U5AM482W1DE,403.1868316099792
ID_G0I28ORJC3OP,416.4450474316124
ID_Q34ED4EMSA3R,668.3841966693731
ID_LN3LXEG984XM,600.9804232701533
ID_0JTIPPYRJND0,750.35081289868
ID_2MRD9I2X8UXB,187.4235720046857
ID_KH1FHLUW2T4X,269.9313143759961
ID_RFM5MWSIU1JX,334.71449340569524
ID_IAH2UTMDVU8F,226.1664966996891
ID_9SNP46T1GSJI,779.3698014952126
ID_DSQ9ISYFW4DB,467.72980837647555
ID_B8XYLC3NM6XD,24.399770376828368
ID_HOG9LK4CTN8K,338.2534576243394
ID_L3RTRS1QIY6D,292.64978972900076
ID_03QW4RBYQEBK,383.73510180748156
ID_ZJSYN3ZHXK5K,769.1691128405101
ID_UPRM76SZ7IJJ,719.1832883570132
ID_YB866N9RY5TU,552.4931007485815
ID_4H0KNHPKF9BK,176.48942222256332
